ID	adj.P.Val
240528_s_at	0.26289
236290_at	0.26289
234684_s_at	0.26289
225407_at	0.26289
235230_at	0.26295
231099_at	0.26295
1560385_x_at	0.26295
244172_at	0.26357
232113_at	0.26357
217608_at	0.26357
50314_i_at	0.26357
225681_at	0.26357
201362_at	0.26357
200935_at	0.26357
243948_at	0.26382
1552897_a_at	0.26438
218860_at	0.26467
228479_at	0.26467
239203_at	0.26467
211310_at	0.26467
205944_s_at	0.26486
237028_at	0.26504
208020_s_at	0.26588
230450_at	0.26627
238631_at	0.26647
204029_at	0.26647
211761_s_at	0.26647
226855_at	0.26647
241215_at	0.26647
207222_at	0.26647
217893_s_at	0.2666
213240_s_at	0.2666
219222_at	0.2666
226951_at	0.2666
244147_at	0.2666
215073_s_at	0.2666
209283_at	0.2666
205730_s_at	0.2666
214737_x_at	0.2666
204527_at	0.2666
223282_at	0.2666
230979_at	0.2666
225707_at	0.2666
236066_at	0.2666
234201_x_at	0.2666
230144_at	0.2666
241060_x_at	0.26715
225731_at	0.26756
210197_at	0.26781
226444_at	0.26781
1554049_s_at	0.26781
200997_at	0.26781
213974_at	0.26781
1564776_at	0.26781
217626_at	0.26781
1552664_at	0.26781
229055_at	0.26781
202574_s_at	0.26781
226016_at	0.26781
223698_at	0.26781
1552553_a_at	0.26781
205497_at	0.26781
237510_at	0.26781
208564_at	0.26781
63825_at	0.26781
208901_s_at	0.26781
238425_at	0.26781
227312_at	0.26788
226348_at	0.2684
201997_s_at	0.26882
208988_at	0.26882
1563086_at	0.26882
1562400_at	0.26886
210673_x_at	0.26886
242998_at	0.26886
236660_at	0.26886
224942_at	0.26886
1569346_a_at	0.26886
1558486_at	0.26886
1556239_a_at	0.26886
1559256_at	0.26886
228333_at	0.26917
AFFX-M27830_5_at	0.27
243405_at	0.27
229773_at	0.27
213752_at	0.27017
1556552_a_at	0.27122
244050_at	0.27144
229955_at	0.27167
224940_s_at	0.27179
218076_s_at	0.27179
236856_x_at	0.27183
217964_at	0.27183
227542_at	0.2726
202168_at	0.27328
213606_s_at	0.27328
219911_s_at	0.27334
214972_at	0.27334
207316_at	0.27334
234530_s_at	0.27334
201613_s_at	0.27334
1558117_s_at	0.27334
237104_at	0.27334
234190_at	0.27334
1562074_a_at	0.27334
233051_at	0.27355
209352_s_at	0.27355
1558919_a_at	0.27424
235319_at	0.27424
209289_at	0.27433
201021_s_at	0.27433
1566780_at	0.27433
213839_at	0.27433
206341_at	0.27433
1557256_a_at	0.27433
233264_at	0.27501
1554418_s_at	0.27544
214790_at	0.27544
214743_at	0.27545
217078_s_at	0.27545
232859_s_at	0.27545
204159_at	0.27583
236007_at	0.27583
224443_at	0.27617
221835_at	0.27617
216238_s_at	0.27617
1565742_at	0.27617
228978_at	0.27659
227502_at	0.27728
204332_s_at	0.27744
220391_at	0.27762
230163_at	0.27775
212207_at	0.27775
1556261_a_at	0.27775
233130_at	0.27775
229371_at	0.27775
234896_at	0.27807
235541_at	0.27807
1561427_at	0.27807
215771_x_at	0.27807
1553864_at	0.27807
231169_at	0.27807
1556158_at	0.27807
1566139_at	0.27807
238662_at	0.27807
212144_at	0.27828
1559942_at	0.27843
200990_at	0.27851
235284_s_at	0.27851
229794_at	0.2786
34726_at	0.27918
231546_at	0.27935
217721_at	0.27951
210053_at	0.27963
1554423_a_at	0.27963
219255_x_at	0.2802
227255_at	0.2803
238886_at	0.28113
216604_s_at	0.28113
235930_at	0.28113
203914_x_at	0.28153
212640_at	0.28153
214100_x_at	0.28153
223960_s_at	0.28153
232056_at	0.28153
214198_s_at	0.28153
216690_at	0.28153
228106_at	0.28153
1569569_x_at	0.28153
217512_at	0.28153
242364_x_at	0.28153
240706_at	0.28153
231715_s_at	0.28153
207416_s_at	0.28153
1555151_s_at	0.28153
244202_at	0.28153
211466_at	0.28153
225489_at	0.28153
224413_s_at	0.28153
236584_at	0.28153
239377_at	0.28153
217785_s_at	0.28213
244579_at	0.28213
1560058_at	0.28213
207206_s_at	0.28213
227033_at	0.28217
217742_s_at	0.28252
211476_at	0.28252
230508_at	0.28252
1556777_a_at	0.28261
224747_at	0.28261
222415_at	0.28261
220704_at	0.28282
1560787_at	0.28286
238417_at	0.28374
243176_at	0.28446
1555158_at	0.28495
1554574_a_at	0.28495
213984_at	0.28495
239007_at	0.28495
1561480_a_at	0.28495
209316_s_at	0.28499
239619_at	0.28499
1554430_at	0.28499
223927_at	0.28545
213998_s_at	0.28545
1570146_at	0.28545
210015_s_at	0.28545
229954_at	0.28545
210153_s_at	0.28545
212140_at	0.28545
1553881_at	0.28545
205348_s_at	0.28545
225921_at	0.28545
1564813_at	0.28545
229735_s_at	0.28545
239128_at	0.28545
1560716_at	0.28545
216787_at	0.28545
222033_s_at	0.28545
227344_at	0.28545
208737_at	0.28545
224015_s_at	0.28545
203253_s_at	0.28545
202634_at	0.28545
216751_at	0.28618
230369_at	0.28645
1554872_a_at	0.28645
239618_at	0.28675
203405_at	0.28689
213872_at	0.28805
209531_at	0.28873
201709_s_at	0.28873
221899_at	0.28873
203053_at	0.28873
225336_at	0.28873
218271_s_at	0.28873
206746_at	0.28873
229131_at	0.28873
1562529_s_at	0.28873
223644_s_at	0.28884
203108_at	0.2891
200894_s_at	0.28922
219810_at	0.2893
228105_at	0.2893
227978_s_at	0.2893
205110_s_at	0.2893
204035_at	0.2893
218478_s_at	0.2893
236689_at	0.2893
225445_at	0.2893
1556329_a_at	0.28945
213656_s_at	0.28977
218723_s_at	0.28977
224711_at	0.28983
1553442_a_at	0.28987
201286_at	0.29011
204164_at	0.29011
234989_at	0.29011
219873_at	0.29011
